EXP2-MAE,EXP3-MAE,EXP2-AE,EXP3-AE
0.48903897,0.505126968,0.293106848,0.067347234
0.26597398,0.290579073,1.085087762,0.770463453
0.81198916,0.532052712,0.939634063,0.603618839
0.61796464,0.595338354,0.88413401,0.512788966
0.61746073,0.549098835,0.864756371,0.531000877
0.60473831,0.68031899,1.045835871,0.726454634
0.4955167,0.696918807,0.940342128,0.626286685
0.32424613,0.301217425,0.905519009,0.56937933
0.66122827,0.583038533,0.871600096,0.512680952
2.81318119,2.923685909,0.818719521,0.486216203
0.20221783,0.18348423,0.684247889,0.313167967
0.33951402,0.223328832,0.735976598,0.584500691
0.21071342,0.141649465,1.053469353,0.678338699
1.09155579,1.180228904,1.126469353,0.751338699
0.50763935,0.451575656,0.783669353,0.408538699
0.74144531,0.58824401,1.076969035,0.937307246
0.69685097,0.410186582,0.642369353,0.267238699
0.30508679,0.35159189,0.634669353,0.259538699
0.44803554,0.458407747,1.029514614,0.813584629
0.35135976,0.297984523,0.946559675,0.6808374
0.26447842,0.296025463,0.995414614,0.779484629
0.17332195,0.155198617,0.993122311,0.707949848
0.16466118,0.147491178,1.194962535,1.178764854
0.15263394,0.114945522,1.039857481,1.017153834
0.99494311,0.956294507,0.779857481,0.757153834
0.24165671,0.289917163,0.499057481,0.476353834
0.52278952,0.406201543,1.954362228,2.038046195
0.54738287,0.429394626,2.282162228,2.365846195
0.81795351,0.804701571,1.811688065,1.886742711
0.3801828,0.349854132,2.025016697,2.113625916
0.35749715,0.286301604,2.908684355,3.062331778
0.51943346,0.491447804,2.958199326,3.109249893
0.0555917,0.041968044,2.870640426,2.983184962
0.58855431,0.478744144,3.062412457,3.189910606
0.18161731,0.160689315,1.024707568,0.803750765
0.29076206,0.394923383,1.48408903,1.427380217
0.1743304,0.090697394,1.342305569,1.308874516
0.1640342,0.108155753,1.266277418,1.23748599
0.41862516,0.453571028,0.687193418,0.72171166
0.35493613,0.289492323,1.9326071,1.967675612
0.24084051,0.168546684,1.683948785,1.725508481
0.80241015,0.472567389,1.613627001,1.649989172
0.30804114,0.235533946,0.564210297,0.515407921
0.31954328,0.141140703,1.632969305,1.570704386
0.1002054,0.126368121,1.421655611,1.370260671
0.11093173,0.055077955,1.314342543,1.274466082
1.45350262,1.236720288,2.915678062,3.064710655
0.67120384,0.342878805,3.066120518,3.170621288
0.05012771,0.050981048,3.025220882,3.12354232
0.87843374,0.857356589,2.874359355,2.972974048
0.67304137,0.381722833,3.647032348,3.758466331
0.17677284,0.085142676,3.413980273,3.523631361
0.99876336,0.431381188,3.382160574,3.492404372
0.1999042,0.594362417,0.665335502,0.545618381
0.24717397,0.353660425,0.671335502,0.551618381
0.6269855,0.234170148,0.411335502,0.291618381
0.18735752,0.11339888,0.442235502,0.322518381
0.16988345,0.015533377,0.37266709,0.265052096
0.55231445,0.418492011,0.546335502,0.426618381
0.74973405,0.779729487,0.722435502,0.602718381
0.44788305,0.271975672,0.538146243,0.616727099
0.06329438,0.038072614,0.653090484,0.789463527
0.34053201,0.176995463,0.508615456,0.601758442
0.91518151,0.440071455,0.443440894,0.572308521
0.51359893,0.425992496,0.128362209,0.240716488
,,0.248334403,0.37652206
,,0.144379965,0.098433367
,,0.193611401,0.111761349
,,0.520669164,0.438743772
,,0.665945866,0.556770184
,,0.019384597,0.05326822
,,0.047111384,0.116791598
,,0.078259571,0.026567833
,,0.344417603,0.212375195
,,0.343822286,0.164327428
,,0.302170277,0.208611012
,,0.071913754,0.1488829
,,0.245949683,0.301627097
,,0.591277444,0.200289571
,,0.717999287,0.400492496
,,0.673666285,0.373303221
,,0.701872336,0.39742993
,,0.32002466,0.051238707
,,0.051775619,0.194987937
,,0.464740231,0.540534928
,,0.322577422,0.238394682
,,0.106172136,0.198224119
,,0.107951882,0.02925134
,,0.413209707,0.547408372
,,0.024717391,0.110157906
,,0.674742953,0.523891227
,,0.144228353,0.104247942
,,0.379417772,0.209721918
,,0.731964843,0.562198417
,,0.198263002,0.385834051
,,0.091331472,0.097187529
,,0.046694563,0.249100401
,,0.175362458,0.120102277
,,0.268787151,0.306794887
,,0.007304448,0.201224583
,,0.21155872,0.225435635
,,0.286217625,0.356239732
,,0.374711958,0.304329839
,,0.04898866,0.111278852
,,0.577299368,0.487633479
,,0.363747932,0.444172718
,,0.24078525,0.381840834
,,0.150276205,0.004992982
,,0.25865836,0.13358302
,,0.50500583,0.377400868
,,0.345491825,0.121406017
,,0.084851888,0.110747006
,,0.063397354,0.061292595
,,0.103174563,0.126738425
,,0.042555778,0.037312476
,,0.22343571,0.224559615
,,0.222018805,0.237665739
,,0.045930334,0.001098105
,,0.286365027,0.307683463
,,0.796535618,0.725040562
,,0.103358758,0.036505711
,,0.089233468,0.154017041
,,0.180613992,0.275415418
