predicted_value,value
-5.942210674,-6.036684489
-4.622991562,-4.537602002
-6.143384933,-6.493494968
-4.67998457,-4.232844134
-5.681798935,-6.420216403
-4.884285927,-4.251811973
-4.424019814,-4.744727495
-5.146491051,-4.42136079
-4.775525093,-4.958607315
-4.569740295,-4.958607315
-4.583292961,-4.356547324
-4.594968319,-4.443697499
-5.640844822,-5.251811973
-4.472225189,-4.366531544
-5.641936302,-5.173925197
-5.561123371,-5.180456064
-5.423434258,-5.823908741
-4.474256516,-4.327902142
-5.616722584,-5.327902142
-5.713107109,-4.853871964
-5.701237679,-5.632644079
-5.72428894,-6.107905397
-4.821767807,-4.59345982
-5.554749489,-5.882728704
-4.767582417,-4.554395797
-4.797531128,-4.320572103
-5.245177746,-6.026872146
-5.4421134,-5.036212173
-4.729452133,-4.102372909
-4.913254738,-4.148741651
-4.314472198,-4.30980392
-5.145405769,-5.924453039
-4.50298214,-4.187086643
-4.460283279,-4.259637311
-5.230967522,-5.102372909
-5.086864471,-4.886056648
-4.954284668,-5.080921908
-5.220214367,-5.346787486
-5.204553604,-5.283996656
-5.884022713,-6.455931956
-5.12583971,-5.193820026
-5.507522106,-5.387216143
-5.341656685,-5.236572006
-5.690209389,-4.958607315
-5.699325562,-5.408935393
-4.861618042,-4.744727495
-5.229856014,-5.823908741
-5.180475235,-4.769551079
-5.764364243,-5.769551079
-5.604101658,-5.853871964
-5.544334888,-5.970616222
-5.325387955,-5.045275209
-5.788446426,-5.537602002
-5.652667522,-5.602059991
-5.635807037,-5.455931956
-4.890911102,-5.580044252
-5.388421535,-5.804100348
-5.391954899,-4.838631998
-5.823939323,-6.281498311
-5.031177044,-4.709965389
-5.621509075,-5.896196279
-4.688774586,-4.425968732
-5.693064213,-6.001304842
-4.808954239,-5.327902142
-5.480113506,-5.610833916
-5.947443962,-6.22184875
-5.673737049,-6.251811973
-5.855350494,-5.638272164
-4.514335632,-4.443697499
-5.277489185,-5.443697499
-5.054208755,-4.494850022
-5.282041073,-5.769551079
-4.763185501,-4.769551079
-4.679038048,-4.698970004
-4.538140297,-4.455931956
-4.508411407,-4.508638306
-4.482505322,-4.568636236
-4.59020853,-4.619788758
-4.555467606,-4.455931956
-4.479521751,-4.522878745
-4.565146923,-4.119186408
-5.268928051,-6.15490196
-4.987720013,-5.214670165
-4.986027718,-4.522878745
-5.244981766,-5.958607315
-5.840647221,-4.958607315
-4.530892372,-4.397940009
-5.19158411,-5.13076828
-4.669728279,-4.48148606
-5.737723351,-5.677780705
-5.373068333,-6.301029996
-4.490967751,-4.408935393
-4.696716785,-4.769551079
-4.506744385,-4.657577319
-5.474242687,-5.346787486
-4.894135475,-5.22184875
-4.3574543,-4.657577319
-6.038703442,-6.259637311
-5.420239925,-4.70333481
-4.761539459,-4.602059991
-5.607526779,-5.337242168
-5.398984432,-5.318758763
-5.633858681,-5.37675071
-4.908452511,-4.721246399
-5.225571156,-5.366531544
-5.65064764,-5.838631998
-5.655003071,-6.301029996
-5.059364319,-5.443697499
-5.165421009,-5.522878745
-5.119839668,-5.823908741
-6.055929184,-6.283996656
-4.939570427,-4.853871964
-5.616714478,-4.88941029
-4.883162975,-4.638272164
-5.770142555,-6.248720896
-4.670854568,-4.299296283
-5.714072227,-5.823908741
-5.738400936,-5.460923901
-5.812417984,-5.440093375
-5.172579288,-4.638272164
-4.494229317,-4.832682665
-6.119719505,-5.698970004
-5.013832092,-5.962573502
-5.990999222,-6.70333481
-5.267584801,-5.879426069
-4.711658478,-4.609064893
-5.705062866,-5.772113295
-4.845435619,-5.251811973
-5.560394764,-5.318758763
-4.96367836,-6.301029996
-5.86811924,-5.638272164
-4.58789444,-4.835647144
-5.216248035,-4.928117993
-4.58326149,-4.050609993
-5.526795387,-5.954677021
-5.851931572,-5.879426069
-4.911912918,-5.249491605
-5.07324791,-5.287350298
-4.780452728,-5.036212173
-5.796778679,-5.128427064
-5.665051937,-5.406713933
-5.485085964,-5.882728704
-5.360104561,-5.017276612
-5.605271816,-5.59345982
-5.52521944,-5.207608311
-6.351554394,-6.133122186
-5.895985603,-6.490797478
-5.567049503,-5.437707136
-5.449967861,-5.241845378
-5.758602142,-5.459670525
-5.523452282,-5.610833916
-5.62157774,-5.235077015
-5.440320492,-4.507239611
-5.279004097,-5.623423043
-5.137108803,-5.057991947
-5.262571335,-5.742321425
-5.798743725,-5.225483034
-5.41300869,-5.595166283
-6.340441227,-6.537602002
-6.457306862,-6.698970004
-6.235325813,-6.677780705
-5.748685837,-4.853871964
-5.376101494,-5.795880017
-5.444780827,-5.522878745
-5.391912937,-5.119186408
-5.14644146,-4.970616222
-5.573700428,-5.392544977
-5.665321827,-4.581698709
-4.989985943,-5.565431096
-4.976717472,-5.053056729
-4.954350948,-5.074687909
-4.958066463,-4.821023053
-4.951446056,-4.882728704
-5.066543579,-5.074172425
-5.298307419,-5.096910013
-5.300154209,-5.754487332
-5.456205845,-5.244887734
-5.471178532,-5.292429824
-4.317200661,-4.946921557
-4.742111206,-4.63638802
-4.754875183,-4.53313238
-4.683332443,-4.490797478
-4.692315102,-4.742321425
-4.742593288,-4.504455662
-4.669639111,-4.866461092
-4.875061035,-4.681936665
-4.645551205,-5.148741651
-4.991511345,-5.050609993
-4.698701859,-4.575118363
-4.700939178,-4.48148606
-4.784015179,-4.586700236
-4.69417572,-4.815308569
-4.786124706,-4.759450752
-4.882725239,-4.928117993
-4.86270237,-5.37675071
-5.092627525,-4.928117993
-4.955708981,-4.829738285
-5.217663288,-5.48148606
-5.111037731,-4.764471553
-4.846235752,-5.086186148
-5.045018196,-4.576754126
-4.924061298,-4.663540266
-5.764856339,-6.173925197
-4.657808304,-4.806875402
-5.67888689,-5.657577319
