best_model,value
-4.293854237,-4.8861
-4.31208849,-4.0969
-4.302148819,-4.2628
-4.371007919,-4.2993
-4.331292152,-4.3615
-4.331598759,-4.1481
-4.295049667,-4.2403
-4.307083607,-4.2967
-4.337284088,-4.3251
-4.331505299,-4.4067
-4.299634457,-4.5031
-4.418243408,-4.1007
-4.36235714,-4.1325
-4.371144295,-4.0595
-4.334842682,-4.4023
-4.755578041,-4.0726
-4.329194069,-4.5436
-4.324949265,-4.5513
-4.324216366,-4.3215
-4.317110062,-4.2874
-4.299842358,-4.3556
-4.353743553,-4.2175
-6.064544678,-6.5702
-6.124183655,-6.3809
-6.173971176,-6.1209
-6.313338757,-5.8401
-3.478123665,-3.6003
-3.631249905,-3.2725
-3.460468054,-3.7852
-3.491346836,-3.567
-2.773414373,-2.7111
-2.475302696,-2.384
-2.471454144,-2.4973
-2.44952774,-2.346
-6.352758884,-6.4949
-6.463885307,-6.7959
-6.592229366,-6.6198
-6.585793972,-6.6021
-6.780010223,-5.9431
-6.703913689,-7.1549
-6.72411871,-6.9208
-6.799504757,-6.8539
-6.866147518,-6.1135
-6.783918381,-7.1549
-6.754798889,-6.9586
-6.862419128,-6.8539
-2.737397194,-2.71
-2.396687269,-2.212
-2.400166273,-2.263
-2.356947899,-2.4173
-2.434080124,-1.7613
-2.386757135,-2.0016
-2.361162186,-2.0361
-6.031424046,-6.1367
-6.024294376,-6.1427
-6.068464279,-5.8827
-6.05810976,-5.9136
-6.042996407,-5.8239
-6.033396721,-6.0177
-6.022870541,-6.1938
-5.457108498,-5.8794
-5.556173801,-5.8297
-5.612565994,-5.71
-5.575735092,-5.6517
-5.65011549,-5.382
-5.639414787,-5.5302
-5.13769865,-5.2636
-5.054755688,-5.1445
-4.925191879,-4.8179
-4.963139534,-4.6572
-5.187754631,-5.2168
-5.041969776,-5.1739
-4.971547604,-5.0545
-5.019094467,-4.7897
-5.21199131,-5.4401
-4.986285686,-5.3125
-4.987934589,-4.914
-5.018924713,-4.7331
-4.47140646,-4.5357
-4.462901115,-4.3675
-4.423035145,-4.3566
-4.457510948,-4.3311
-5.708121777,-5.4609
-4.989726543,-4.7438
-4.739077568,-4.2447
-4.701887608,-5.1124
-4.697330475,-4.6289
-4.820043564,-4.9303
-5.014247894,-4.4384
-5.0008564,-4.8732
-4.911973,-5.5272
-5.712786674,-5.3054
-5.00848341,-5.1746
-4.922848225,-5.5272
-5.179562569,-4.6944
-5.051414967,-4.9821
-5.77263546,-5.4401
-4.872140408,-5.0173
-4.618855,-4.3973
-4.849482059,-4.8162
-4.594836712,-4.5382
-4.887003899,-4.5772
-4.773833275,-5.2581
-5.161316395,-4.8489
-4.887919426,-5.4949
-5.609883308,-5.7645
-4.981976032,-4.7206
-4.937355995,-5.1141
-5.048203468,-5.2388
-5.14231348,-5.4828
-4.92956543,-4.639
-4.675712585,-4.6428
-4.553819656,-4.519
-4.66883707,-4.6904
-4.632525444,-4.4603
-4.670778751,-4.7582
-4.655584335,-4.7854
-4.686284065,-4.5586
-4.6617136,-4.8894
-5.379690647,-5.857
-4.670145035,-4.4972
-4.628307343,-4.6878
-4.643711567,-4.8901
-4.775841713,-4.4651
-4.769075871,-4.8324
-4.656745434,-4.716
-4.62987566,-4.522
-4.647130966,-4.7022
-4.550393105,-4.7953
-4.687377453,-4.782
-4.676806927,-4.7503
-4.668646336,-4.8486
-4.723610401,-4.5333
-5.392582417,-5.7305
-4.684295177,-4.4955
-4.658337593,-4.6264
-4.705003262,-4.7711
-4.677955627,-4.9523
-4.889219284,-5.0472
-5.018080235,-4.7206
-4.752645016,-4.5274
-4.63373661,-4.522
-5.176545143,-5.2388
-5.189068317,-4.6972
-4.982371807,-4.7215
-4.89592886,-5.1141
-4.829357147,-4.5226
-4.759840965,-4.3971
-5.052195549,-5.4828
-4.786303043,-5.4584
-4.871685982,-4.9183
-4.752761364,-5.1146
