SMILES,predicted_value,value
,-4.818752766,-4.8861
,-4.867363453,-4.0969
,-4.866418839,-4.2628
,-4.812088966,-4.2993
,-4.892500877,-4.3615
,-4.874554634,-4.1481
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,-4.866586685,-4.2403
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C,-4.86607933,-4.2967
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,-4.837780952,-4.3251
,-4.892916203,-4.4067
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,-4.816267967,-4.5031
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,-4.685200691,-4.1007
,-4.810838699,-4.1325
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-4.810838699,-4.0595
,-4.810838699,-4.4023
,-5.009907246,-4.0726
,-4.810838699,-4.5436
Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1,-4.810838699,-4.5513
CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,-5.135084629,-4.3215
CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,-4.9682374,-4.2874
,-5.135084629,-4.3556
,-4.925449848,-4.2175
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,-5.391435146,-6.5702
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,-5.363746166,-6.3809
,-5.363746166,-6.1209
,-5.363746166,-5.8401
Cc1c(O)c(=O)ccn1C,-5.638346195,-3.6003
,-5.638346195,-3.2725
,-5.671942711,-3.7852
O=C(O)c1ccccc1O,-5.680625916,-3.567
,-5.773431778,-2.7111
Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,-5.493249893,-2.384
,-5.480484962,-2.4973
O=C(O)CCCCCCCC(=O)O,-5.535910606,-2.346
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,-5.691149235,-6.4949
,-5.368519783,-6.7959
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,-5.310925484,-6.6198
CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,-5.36461401,-6.6021
,-5.22138834,-5.9431
NNc1nncc2ccccc12,-5.187224388,-7.1549
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,-5.195291519,-6.9208
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,-5.203910828,-6.8539
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,-5.598092079,-6.1135
O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,-5.584195614,-7.1549
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,-5.588339329,-6.9586
CC(C)NC[C@@H](O)COc1ccc(CCOCC2CC2)cc1,-5.579433918,-6.8539
,-5.774710655,-2.71
,-5.382621288,-2.212
O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,-5.38654232,-2.263
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N[C@H]1C,-5.390274048,-2.4173
Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,-5.519766331,-1.7613
Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,-5.525231361,-2.0016
,-5.528504372,-2.0361
,-5.591081619,-6.1367
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,-5.591081619,-6.1427
CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC,-5.591081619,-5.8827
Nc1cc(-c2ccncc2)c[nH]c1=O,-5.591081619,-5.9136
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,-5.558847904,-5.8239
Nc1ccc(S(N)(=O)=O)cc1,-5.591081619,-6.0177
,-5.591081619,-6.1938
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,-5.262672901,-5.8794
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,-5.040236473,-5.8297
,-5.108241558,-5.71
,-5.079391479,-5.6517
,-5.141283512,-5.382
,-5.15367794,-5.5302
,-5.362033367,-5.2636
O=C(O)CCCc1ccccc1,-5.256261349,-5.1445
O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,-5.256643772,-4.8179
CCN(CC)C(=O)N1CCN(C)CC1,-5.213970184,-4.6572
O=c1[nH]c2cc(Cl)ccc2o1,-5.16353178,-5.2168
,-5.057108402,-5.1739
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,-5.027932167,-5.0545
Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,-5.002075195,-4.7897
,-5.275772572,-5.4401
,-5.103888988,-5.3125
O=C(O)c1ccccc1,-5.0628829,-4.914
,-5.034727097,-4.7331
CC(C)NC[C@@H](O)COc1cccc2ccccc12,-4.735989571,-4.5357
Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,-4.767992496,-4.3675
CCCC(CCC)C(=O)O,-4.729903221,-4.3566
,-4.72852993,-4.3311
NCCc1c[nH]c2ccc(O)cc12,-5.409661293,-5.4609
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,-4.938787937,-4.7438
O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,-4.785234928,-4.2447
O=C(O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(O)ccc12,-4.874005318,-5.1124
N[C@@H](Cc1ccccc1)C(=O)O,-4.827124119,-4.6289
Nc1nc(/C(=C/CC(=O)O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1,-4.90104866,-4.9303
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,-4.985808372,-4.4384
,-4.983357906,-4.8732
Nc1ccncc1,-5.003308773,-5.5272
O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,-5.409647942,-5.3054
,-4.964878082,-5.1746
NCCc1ccc(O)c(O)c1,-4.965001583,-5.5272
N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1,-5.080234051,-4.6944
,-5.079287529,-4.9821
O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O,-5.689200401,-5.4401
CCN(CC)CCNC(=O)c1ccc(N)cc1,-4.897197723,-5.0173
,-4.704094887,-4.3973
,-5.017424583,-4.8162
O=C(CCCCCCC(=O)Nc1ccccc1)NO,-4.763635635,-4.5382
,-4.933439732,-4.5772
,-4.953770161,-5.2581
,-4.960178852,-4.8489
Nc1nc2c(ncn2COCCO)c(=O)[nH]1,-5.007266521,-5.4949
N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1,-5.320327282,-5.7645
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,-5.102440834,-4.7206
O=C(O)c1ccncc1,-5.109107018,-5.1141
,-5.10521698,-5.2388
,-5.105399132,-5.4828
,-4.760406017,-4.639
CCN(CC)CC(=O)Nc1c(C)cccc1C,-4.532052994,-4.6428
NCCC(O)(P(=O)(O)O)P(=O)(O)O,-4.457707405,-4.519
NCCCC(O)(P(=O)(O)O)P(=O)(O)O,-4.563661575,-4.6904
,-4.497612476,-4.4603
O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,-4.533640385,-4.7582
,-4.547734261,-4.7854
CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN,-4.559698105,-4.5586
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,-4.581716537,-4.8894
O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,-5.131959438,-5.857
O=c1cc(-c2ccccc2)oc2ccccc12,-4.533705711,-4.4972
,-4.533782959,-4.6878
