round,R2_mean,MAE_mean,MSE_mean,R2_std,MAE_std,MSE_std
0,0.212171235,0.50926669,0.550341749,0,0,0
1,0.120726266,0.582610838,0.606177164,0.216611391,0.122282624,0.128904008
2,0.291032104,0.501997601,0.500791083,0.157206284,0.05933937,0.119230664
3,0.365053789,0.493408372,0.445085855,0.173074083,0.068023368,0.132319602
4,0.580865542,0.401888782,0.291518438,0.155191051,0.062630612,0.119078016
5,0.604756724,0.383864363,0.27535764,0.170405799,0.067091591,0.130244779
6,0.543390914,0.40537504,0.326274917,0.222314558,0.082311213,0.17467079
7,0.549836725,0.401772476,0.312555904,0.214182816,0.085220375,0.173273048
8,0.618293226,0.373211328,0.271882165,0.196702536,0.088149411,0.16371944
9,0.686905495,0.353225103,0.218561017,0.115860785,0.062873518,0.095415816
10,0.705332065,0.342937396,0.202313164,0.075140961,0.040824876,0.066155134
11,0.744180341,0.325638863,0.177155554,0.124785543,0.066399522,0.106819805
12,0.763198658,0.317020975,0.168648277,0.098810908,0.058854144,0.087365606
13,0.718509773,0.332988226,0.191636899,0.090761767,0.048030146,0.066677891
14,0.735651846,0.347233145,0.203087165,0.076579199,0.039714574,0.065955685
15,0.740597394,0.327094955,0.179928936,0.086380382,0.046326265,0.0632286
16,0.720869958,0.33511725,0.18745028,0.083338757,0.043001185,0.061435226
17,0.746571293,0.325725889,0.177454875,0.092678531,0.05613567,0.073228982
18,0.752478976,0.313661357,0.17056043,0.079194731,0.044749445,0.062767483
19,0.812798616,0.297152424,0.140296955,0.065373978,0.048559563,0.055174651
20,0.788669222,0.308083578,0.155888468,0.102172294,0.062942576,0.085650019
21,0.829207243,0.271170463,0.111316548,0.032021489,0.023001576,0.021749775
22,0.807616714,0.28791317,0.124945953,0.051006442,0.045467706,0.041072158
23,0.812883359,0.28766449,0.127948266,0.052188008,0.046770865,0.044754841
24,0.80342054,0.298984499,0.140188894,0.063831057,0.052425751,0.05646879
25,0.83506375,0.265852503,0.10703731,0.029683912,0.022328675,0.016810424
26,0.85374868,0.24994551,0.096055712,0.031974694,0.025521782,0.02125431
27,0.849182049,0.278845589,0.114682756,0.027182692,0.03253955,0.030078735
28,0.822509008,0.25285101,0.098470017,0.044410576,0.026951524,0.023260759
29,0.78720455,0.295104588,0.130571056,0.074605937,0.027102568,0.028906249
30,0.817175963,0.275105284,0.126345919,0.078151834,0.058230093,0.061278959
31,0.839739552,0.273670728,0.113929623,0.041031857,0.051257467,0.049068585
32,0.837851306,0.258725847,0.103669865,0.06693321,0.045257904,0.044868741
33,0.81848269,0.274197879,0.111520606,0.061581607,0.039704103,0.031846158
34,0.853834845,0.254314369,0.101714024,0.034504119,0.034335799,0.025414417
35,0.8035234,0.273395144,0.116385384,0.109557744,0.047616964,0.041771285
36,0.84636278,0.259763852,0.102264795,0.057561711,0.047831328,0.039349514
37,0.835848406,0.27390975,0.111949113,0.067916041,0.037796273,0.042093632
38,0.862988643,0.244075381,0.08985871,0.048346994,0.022577426,0.018420731
39,0.860086557,0.2326066,0.089193179,0.065880568,0.048605767,0.037986659
40,0.774385618,0.252746423,0.095809279,0.175424133,0.042646128,0.032642378
