value,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,HeavyAtomMolWt,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi3v,Chi4n,HallKierAlpha,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticHeterocycles,NumAtomStereoCenters,NumBridgeheadAtoms,NumHDonors,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,RingCount,MolLogP,fr_Al_COO,fr_Al_OH,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_OH,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_aniline,fr_aryl_methyl,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_ester,fr_ether,fr_furan,fr_hdrzine,fr_imidazole,fr_imide,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_methoxy,fr_morpholine,fr_oxime,fr_para_hydroxylation,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfone,fr_tetrazole,fr_thiazole,fr_thiophene,fr_unbrch_alkane,MACCS_8,MACCS_11,MACCS_19,MACCS_22,MACCS_23,MACCS_25,MACCS_26,MACCS_27,MACCS_28,MACCS_29,MACCS_30,MACCS_31,MACCS_33,MACCS_34,MACCS_36,MACCS_37,MACCS_38,MACCS_40,MACCS_41,MACCS_42,MACCS_43,MACCS_44,MACCS_46,MACCS_47,MACCS_48,MACCS_49,MACCS_52,MACCS_53,MACCS_54,MACCS_56,MACCS_57,MACCS_62,MACCS_63,MACCS_66,MACCS_70,MACCS_71,MACCS_72,MACCS_74,MACCS_75,MACCS_76,MACCS_77,MACCS_79,MACCS_80,MACCS_82,MACCS_83,MACCS_84,MACCS_85,MACCS_86,MACCS_89,MACCS_90,MACCS_91,MACCS_92,MACCS_93,MACCS_95,MACCS_96,MACCS_97,MACCS_98,MACCS_99,MACCS_100,MACCS_102,MACCS_103,MACCS_104,MACCS_106,MACCS_107,MACCS_108,MACCS_109,MACCS_111,MACCS_112,MACCS_113,MACCS_114,MACCS_115,MACCS_116,MACCS_117,MACCS_119,MACCS_120,MACCS_121,MACCS_122,MACCS_123,MACCS_125,MACCS_126,MACCS_128,MACCS_129,MACCS_131,MACCS_132,MACCS_133,MACCS_134,MACCS_135,MACCS_136,MACCS_137,MACCS_138,MACCS_139,MACCS_140,MACCS_141,MACCS_142,MACCS_143,MACCS_144,MACCS_145,MACCS_146,MACCS_147,MACCS_148,MACCS_149,MACCS_150,MACCS_151,MACCS_152,MACCS_153,MACCS_154,MACCS_155,MACCS_156,MACCS_157,MACCS_158,MACCS_159,MACCS_160,MACCS_161,MACCS_162,MACCS_163,MACCS_164,MACCS_165,MACCS_166
-6.036684489,10.7049778,0.107893519,-3.82417517,0.631858693,11.23076923,216.203,0.300746254,0.266853747,1.538461538,2.538461538,32.24798771,10.71664348,2.145478752,-1.900294905,2.173442593,-2.110221024,7.90771715,-0.113740159,2.320160805,2.938691459,422.3524683,3.081509512,0.525847365,-1.06,5.316788604,0,0,15.37839389,10.02329115,0,4.794537184,13.55677072,0,10.19736362,11.33678588,0,6.9237372,0,13.21233417,32.39881524,0,10.19736362,5.138973738,11.26339288,5.316788604,0,10.45576234,5.13155848,0,11.33678588,24.52234033,14.81782834,0,6.9237372,0,0,115.04,10.02329115,13.21233417,0,15.37839389,11.33678588,0,6.9237372,0,0,15.51415222,5.138973738,21.08703893,0.701018519,10.51917281,13.84102183,0,-0.349889456,0,0,1.275812547,-3.82417517,0.25,7,0,0,0,1,0,0,2,1,2,0,0,0,0,0,1,-0.8561,0,0,0,0,2,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0
-4.537602002,9.772509448,0.299480348,-0.496122921,0.693680774,12.44444444,226.17,0.490546942,0.12243924,1.388888889,2.777777778,16.48966155,10.12480744,2.07275308,-2.15954718,2.182921988,-2.347553931,5.341018918,0.104014847,2.354043632,2.444136253,363.2661635,2.529807165,1.585416845,-1.32,15.16017895,18.46036019,0,0,0,0,0,0,0,6.578935684,38.12259571,18.05064018,12.58659724,0,9.843390349,0,0,5.316788604,0,32.41410324,13.15163837,5.749511833,10.05365156,0,5.749511833,0,30.40397298,6.420821623,0,19.41092589,0,0,41.49,6.103966388,5.106527395,0,0,19.1934792,17.73378495,0,0,44.18896278,11.89572429,4.736862954,5.645993008,0,0,12.94762157,1.093998856,0.820367536,8.201872757,2.124366208,8.665780068,0,0.466666667,3,0,0,0,0,1,0,2,0,8,0,0,0,0,1,1,2.1528,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
-6.493494968,11.90759873,0.0299589,-3.992125247,0.813675185,12.26315789,312.313,0.266854048,0.253157301,1.052631579,2.210526316,32.24840949,10.3709273,2.193788806,-2.028395948,2.212600832,-2.121032103,7.929915464,0.595321806,2.776032452,2.295541802,782.4113557,5.557781768,1.139506636,-1.56,0,0,0,9.471214161,20.04658231,0,4.722094864,21.97456771,0,10.19736362,29.53588708,12.13273414,0,4.895483476,16.83559397,36.51492666,0,10.19736362,5.138973738,9.235139156,4.722094864,0,9.861068602,5.13155848,0,11.33678588,27.03295759,20.04658231,0,0,0,0,132.11,24.38623799,16.83559397,0,10.02704196,11.33678588,0,12.13273414,18.19910121,0,14.91945848,5.138973738,47.45996396,0.535894038,0.0299589,11.38094298,0,0,7.57524727,0,0,-7.815340477,0,8,0,0,0,1,0,0,2,1,4,0,0,0,0,0,2,-0.0137,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0
-4.232844134,10.0034364,0.270646845,-0.550078016,0.648326966,11.84,318.223,0.492869979,0.160487403,1.04,2.56,16.50854155,10.12201101,2.066047378,-2.138331229,2.270370381,-2.321196908,5.424724325,0.106430241,2.630570522,1.680977803,659.8944549,3.850290328,2.494011709,-2.24,24.63390486,18.46036019,11.49902367,0,0,0,0,0,0,0,18.19910121,55.28168649,6.544756406,14.21959508,19.31711626,0,0,5.316788604,0,19.44852521,33.91598986,17.2485355,19.52737747,0,17.2485355,0,45.12648364,6.420821623,6.9237372,11.12690298,0,0,59.95,6.103966388,5.106527395,0,6.606881965,6.544756406,41.34101651,0,14.21959508,49.38830668,5.316788604,14.21058886,16.1325931,0,0,13.24874182,2.287671368,2.235088901,13.69013592,0.289020601,3.529675218,3.253739744,0.4,5,0,0,0,0,1,0,2,0,10,0,0,0,0,1,2,2.58422,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0
-6.420216403,10.84035336,0.112523148,-3.855101096,0.603615003,11.35714286,296.107,0.273863303,0.266854314,1.571428571,2.5,79.91917961,10.7153024,2.189444286,-2.038510113,2.243816821,-2.147617143,9.099438863,-0.114753845,2.488889694,3.060881206,454.906378,4.372108442,0.53152293,-0.58,0,0,0,15.37839389,10.02329115,0,4.794537184,17.48276022,0,10.19736362,11.33678588,0,6.9237372,16.14720974,13.21233417,48.54602498,0,10.19736362,5.138973738,11.26339288,3.925989493,0,9.064963231,5.13155848,0,27.48399562,24.52234033,14.81782834,0,6.9237372,0,0,106.25,10.02329115,13.21233417,0,15.37839389,11.33678588,3.925989493,6.9237372,0,0,26.34457336,5.138973738,22.27555461,3.585719482,10.84035336,11.71424036,0,-0.345259826,0,0,1.284493103,-3.855101096,0.25,7,0,0,0,1,0,0,1,1,2,0,0,0,0,0,1,-0.1517,0,0,0,0,2,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0
-4.251811973,10.19223167,0.012327019,-0.61450822,0.88612809,13.94736842,238.181,0.457967085,0.137096359,1.315789474,2.684210526,16.36388514,10.0877983,2.171640782,-2.215784427,2.266140512,-2.380164798,5.80761425,0.140013106,2.780895835,2.209614178,551.364542,3.179774182,2.089487276,-1.32,14.84046694,17.44723395,0,0,0,0,0,0,0,0,25.12283841,38.82185178,17.46990587,0,9.523678332,10.96924436,0,5.316788604,0,45.75866206,6.544756406,0,5.316788604,0,0,0,17.19020905,6.420821623,0,45.1226141,0,10.96924436,45.4,6.103966388,5.106527395,0,5.538925252,12.30500382,17.39006598,5.563451492,0,18.19910121,39.07810447,4.417150937,5.827068216,0,0,14.5346975,2.065950058,0.632083333,8.046180674,0.316672021,8.827348199,0,0.5,3,0,0,0,1,1,0,2,1,4,0,0,0,0,1,2,3.4167,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
-4.744727495,11.01515905,0.219981733,-3.80101344,0.899922221,11.625,269.694,0.26680096,0.222502417,1.25,2.5,35.49569214,10.21530718,2.163759505,-1.961836801,2.30166617,-2.11005188,7.907553887,0.595545471,2.662804221,2.517254617,623.71859,4.350250543,1.068239806,-1.02,0,5.007623697,0,4.339655681,10.02329115,0,0,13.55677072,0,10.19736362,41.13682697,6.066367068,5.563451492,5.022633314,8.417796984,32.96101692,0,10.19736362,5.138973738,4.339655681,0,10.57107519,5.138973738,0,0,22.93772577,18.6151606,10.02329115,0,0,5.022633314,10.57107519,85.94,10.02329115,8.417796984,0,4.339655681,15.5937085,11.33678588,0,24.26546827,0,10.19736362,16.73991363,21.81033636,6.827931941,0,13.0852118,0.635709877,0,6.969601246,0,0,-3.80101344,0,5,0,0,0,1,0,0,1,1,2,0,0,0,0,0,2,1.5059,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0
-4.42136079,5.978227198,0.591574074,0.591574074,0.776426421,14.85714286,221.026,0.354253992,0.195501873,1.285714286,2.571428571,35.49683508,10.29460996,2.093724921,-2.092016445,2.291248902,-2.259250286,6.393317956,0.958849394,2.639287336,2.229635583,356.0698581,2.510270743,1.217270696,-0.93,10.63357721,0,5.959554569,0,0,0,4.992404733,0,0,0,29.26824685,12.13273414,6.544756406,22.27740931,0,34.84882062,0,5.316788604,4.992404733,0,18.40630142,0,10.63357721,5.687386275,0,23.20187978,19.04906738,0,0,0,10.04526663,0,36.42,0,0,0,0,15.7326529,19.04906738,0,18.19910121,0,15.62598194,23.20187978,0,11.9564544,4.190346435,7.316670131,0.698132716,0.722222222,5.371322909,0,1.633740079,0,0.222222222,3,0,1,1,0,0,0,2,1,1,0,0,0,0,0,2,2.3645,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0
-4.958607315,12.37501561,0.198900227,-0.568495344,0.772957406,34,328.242,0.468712796,0.311086056,1.307692308,3,16.52523932,9.646026525,2.490732002,-2.50460444,2.488032029,-2.528563196,5.847460948,-0.159778349,3.049337387,1.522484473,844.893811,7.021976395,5.803663075,-1.85,14.82736887,0,0,0,0,5.969305288,9.694446915,0,0,0,18.19910121,49.14891714,29.68636574,25.1735108,14.63792753,16.87223022,0,9.883888252,17.75371814,37.82909371,20.19931035,0,0,0,0,0,47.26299768,15.95222176,17.75371814,36.56168518,0,10.90292493,65.56,6.103966388,9.901064579,0,17.80511738,18.3805685,32.35197768,29.27010196,0,0,34.14935653,4.736862954,5.042281762,0,18.62289574,11.82377708,3.958819733,0.054143702,8.83093896,3.1366515,2.095765464,1.434726054,0.571428571,5,1,2,3,1,5,0,2,3,1,1,1,2,0,0,5,2.6471,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,6,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
-4.958607315,12.18854938,0.42253858,-2.842183642,0.605720669,28.21428571,245.969,0.342983689,0.305966345,1.357142857,2.428571429,35.49675339,10.47255487,2.322882576,-2.325288884,2.474876048,-2.354185033,7.539263117,0.232648026,2.186110701,2.582264028,201.8664757,4.595188949,1.278310391,0.69,4.523747162,0,0,0,0,7.670279739,4.565048285,9.757711253,0,23.20187978,0,6.420821623,31.39427611,6.606881965,9.088795447,30.87215952,0,9.757711253,0,6.420821623,38.00115807,0,5.087295063,0,0,30.87215952,42.67157426,9.088795447,0,6.420821623,0,0,41.57,7.670279739,4.565048285,0,0,31.45640167,12.96557803,0,4.67041619,0,5.087295063,27.72562694,19.17487654,11.24802075,0,2.907160494,0,0.84507716,0,0.888472222,2.306354245,-2.842183642,1,4,0,1,1,0,1,0,1,1,5,0,1,1,0,1,1,1.884,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0
